sub,run,story_id,dur_run,dur_story,diff
07,8,story_49,273.386,273.392,0.005999999999971806
07,9,story_9,258.719,258.768,0.04899999999997817
08,10,story_10,239.93,240.0,0.06999999999999318
08,11,story_11,398.348,398.336,0.012000000000000455
08,12,story_12,351.705,351.712,0.007000000000005002
08,13,story_13,323.721,323.744,0.023000000000024556
08,14,story_14,318.959,318.992,0.03300000000001546
08,15,story_15,307.69199999999995,307.712,0.020000000000038654
08,16,story_37,288.447,288.416,0.03100000000000591
08,17,story_17,279.969,280.0,0.03100000000000591
08,18,story_18,274.42699999999996,274.48,0.053000000000054115
08,19,story_19,263.601,263.648,0.047000000000025466
08,1,story_1,406.441,406.416,0.024999999999977263
08,20,story_20,240.17000000000002,240.224,0.053999999999973625
08,21,story_21,393.516,393.488,0.02800000000002001
08,22,story_22,345.231,345.232,0.0010000000000331966
08,23,story_23,322.581,322.608,0.026999999999986812
08,24,story_24,315.65700000000004,315.68,0.022999999999967713
08,25,story_25,304.862,304.896,0.033999999999991815
08,26,story_26,295.007,295.024,0.016999999999995907
08,27,story_27,284.802,284.848,0.04599999999999227
08,28,story_28,274.89599999999996,274.928,0.03200000000003911
08,29,story_29,265.45300000000003,265.504,0.05099999999998772
08,2,story_2,352.565,352.576,0.011000000000024102
08,30,story_30,240.56,240.624,0.06399999999999295
08,31,story_31,379.22799999999995,379.232,0.004000000000075943
08,32,story_32,335.817,335.84,0.022999999999967713
08,33,story_33,321.59000000000003,321.6,0.009999999999990905
08,34,story_34,310.815,310.832,0.016999999999995907
08,35,story_35,304.783,304.816,0.03299999999995862
08,36,story_36,296.408,296.432,0.02400000000000091
08,37,story_37,288.373,288.416,0.043000000000006366
08,38,story_38,275.597,275.632,0.03500000000002501
08,39,story_39,269.695,269.728,0.03300000000001546
08,3,story_3,319.96999999999997,320.0,0.03000000000002956
08,40,story_40,255.487,255.552,0.06499999999999773
08,41,story_41,367.993,368.0,0.007000000000005002
08,42,story_42,332.275,332.304,0.028999999999996362
08,43,story_43,320.18,320.192,0.012000000000000455
08,44,story_44,308.944,308.976,0.031999999999982265
08,45,story_45,301.25,301.264,0.014000000000010004
08,46,story_46,298.359,298.4,0.04099999999999682
08,47,story_47,288.944,288.976,0.031999999999982265
08,48,story_48,275.728,275.76,0.031999999999982265
08,49,story_49,273.356,273.392,0.036000000000001364
08,4,story_4,319.169,319.184,0.015000000000043201
08,50,story_50,256.218,256.272,0.053999999999973625
08,51,story_51,352.59499999999997,352.608,0.013000000000033651
08,52,story_52,323.071,323.088,0.016999999999995907
08,53,story_53,324.582,324.608,0.02600000000001046
08,54,story_54,308.374,308.4,0.025999999999953616
08,55,story_55,300.649,300.672,0.023000000000024556
08,56,story_56,298.84900000000005,298.88,0.03099999999994907
08,57,story_57,289.954,290.0,0.04599999999999227
08,58,story_58,276.928,276.976,0.04800000000000182
08,59,story_49,273.386,273.392,0.005999999999971806
08,5,story_5,307.563,307.584,0.021000000000015007
08,60,story_50,256.318,256.272,0.04599999999999227
08,6,story_6,290.916,290.96,0.04399999999998272
08,7,story_17,279.96999999999997,280.0,0.03000000000002956
08,8,story_49,273.387,273.392,0.0049999999999954525
08,9,story_9,258.719,258.768,0.04899999999997817
09,10,story_10,239.93,240.0,0.06999999999999318
09,11,story_11,398.348,398.336,0.012000000000000455
09,12,story_12,351.714,351.712,0.0020000000000095497
09,13,story_13,323.72,323.744,0.02400000000000091
09,14,story_14,318.957,318.992,0.03500000000002501
09,15,story_15,307.692,307.712,0.01999999999998181
09,16,story_16,294.457,294.496,0.03899999999998727
09,17,story_17,279.96900000000005,280.0,0.03099999999994907
09,18,story_18,274.427,274.48,0.05299999999999727
09,19,story_19,263.60200000000003,263.648,0.04599999999999227
09,1,story_1,406.442,406.416,0.02600000000001046
09,20,story_20,240.17000000000002,240.224,0.053999999999973625
09,21,story_21,393.515,393.488,0.026999999999986812
09,22,story_22,345.231,345.232,0.0010000000000331966
09,23,story_23,322.58000000000004,322.608,0.027999999999963165
09,24,story_24,315.65700000000004,315.68,0.022999999999967713
09,25,story_25,304.86199999999997,304.896,0.03400000000004866
09,26,story_26,295.007,295.024,0.016999999999995907
09,27,story_27,284.802,284.848,0.04599999999999227
09,28,story_28,274.897,274.928,0.03100000000000591
09,29,story_29,265.453,265.504,0.051000000000044565
