Word ID,Word,Mean of Valid Ratings,SD of Valid Ratings,No.of Valid Ratings
312,冒雨,2.181818,0.808337,33
313,没趣,3.677419,0.908739,31
314,猛兽,2.212121,0.819969,33
315,蘑菇,1.242424,0.50189,33
316,陌生,3.375,0.906962,32
317,内功,3.870968,1.175923,31
318,排球,1.333333,0.777282,33
319,炮火,1.878788,0.92728,33
320,切割,2.363636,0.994302,33
321,秦朝,1.75,0.879883,32
322,取消,2.6875,1.255632,32
323,全国,2.212121,1.192623,33
324,确定,2.454545,1.120572,33
325,少女,1.878788,0.819969,33
326,审查,2.909091,1.15552,33
327,失手,3.181818,0.982807,33
328,收服,3.1875,1.090649,32
329,手笔,3.233333,1.072648,30
330,手枪,1.212121,0.415149,33
331,束缚,3.69697,0.98377,33
332,竖立,2.848485,1.064225,33
333,甩开,3.151515,1.003781,33
334,苏打,1.84375,0.766617,32
335,素材,2.878788,1.293193,33
336,算数,2.78125,1.288519,32
337,隧道,1.454545,0.904534,33
338,塔顶,1.545455,0.832575,33
339,太好,3.645161,0.984831,31
340,天敌,2.878788,1.192623,33
341,吞吐,3.272727,1.068665,33
342,挽回,3.272727,0.910794,33
343,危险,3.060606,1.273268,33
344,胃酸,1.939394,0.966288,33
345,文件,1.909091,0.879049,33
346,卧底,2.4375,0.877588,32
347,喜讯,2.606061,1.116339,33
348,衔接,3.225806,0.990275,31
349,现实,3.030303,1.31065,33
350,享用,3.090909,1.15552,33
351,消极,3.818182,0.950478,33
352,小我,3.862069,1.025536,29
353,孝敬,2.878788,1.192623,33
354,星光,2.242424,0.867118,33
355,哑铃,1.212121,0.415149,33
356,眼花,3.181818,0.982807,33
357,演讲,2.060606,0.863836,33
358,燕窝,1.484848,0.90558,33
359,养育,3.121212,1.139012,33
360,药厂,1.515152,0.66714,33
361,椰子,1.272727,0.875811,33
362,夜景,2.242424,0.969223,33
363,腋下,1.515152,0.618527,33
364,义气,3.71875,0.991394,32
365,驿站,2.212121,1.053493,33
366,有心,3.757576,0.867118,33
367,越狱,2.0,0.707107,33
368,早报,1.787879,0.780928,33
369,质问,3.151515,0.97215,33
370,赘言,3.357143,1.161553,28
371,钻探,2.666667,1.184187,30
372,奥运,2.121212,1.111237,33
373,搬运,1.939394,0.78817,33
374,宝座,2.424242,1.118881,33
375,抱怨,3.545455,0.904534,33
376,悲剧,3.757576,0.936426,33
377,便衣,2.666667,1.108678,33
378,餐桌,1.272727,0.452267,33
379,侧重,3.757576,0.969223,33
380,差额,3.032258,1.110071,31
381,孱弱,3.59375,1.011526,32
382,沉痛,3.69697,1.045372,33
383,代理,2.939394,1.116339,33
384,弹性,3.424242,1.118881,33
385,登录,2.25,0.915811,32
386,地牢,2.0,1.198958,33
387,递补,3.428571,0.959497,28
388,肚脐,1.393939,0.704423,33
389,队形,2.03125,0.822442,32
390,防守,2.727273,1.008487,33
391,分心,3.363636,1.05529,33
392,干洗,2.0,0.901388,33
393,攻守,3.060606,0.966288,33
394,鼓掌,1.787879,1.053493,33
395,刮风,1.848485,0.755034,33
396,官长,2.233333,1.072648,30
397,管乐,2.181818,0.982807,33
398,广播,1.909091,0.913908,33
399,鬼混,4.0,0.968246,33
400,囫囵,3.935484,0.89202,31
401,花蜜,1.939394,1.028937,33
402,化石,1.575758,0.791766,33
403,环保,2.969697,0.951474,33
404,急救,2.151515,0.833712,33
405,忌日,2.21875,1.128355,32
406,寄托,4.0,0.935414,33
407,家庭,2.181818,1.073969,33
408,尖端,3.15625,0.954087,32
409,检讨,2.787879,0.92728,33
410,见笑,3.727273,1.068665,33
411,缴械,2.636364,1.11294,33
412,戒毒,1.909091,1.100103,33
413,紧急,3.21875,1.263236,32
414,进取,3.484848,1.227834,33
415,禁毒,2.333333,1.190238,33
416,境界,4.25,1.077632,32
417,纠缠,3.545455,0.971175,33
418,久远,3.30303,1.103541,33
419,臼齿,1.866667,1.074255,30
420,剧本,1.909091,1.041742,33
421,绝望,3.575758,0.867118,33
422,犒劳,3.212121,1.243925,33
423,可靠,3.363636,1.05529,33
424,可取,3.258065,1.031754,31
425,空隙,2.84375,1.110344,32
426,来源,3.151515,1.064225,33
427,蓝图,3.5625,1.216486,32
428,寥寥,4.030303,0.883348,33
429,镣铐,1.939394,0.933387,33
430,轮奸,2.0,1.077632,32
431,屡次,3.193548,1.222548,31
432,麻烦,3.28125,1.197696,32
433,麦田,1.545455,0.616994,33
434,卖力,3.272727,1.097518,33
435,茂密,3.151515,1.034445,33
436,眉笔,1.333333,0.645497,33
437,门徒,2.375,1.070122,32
438,迷惘,4.16129,0.637536,31
439,免税,2.151515,1.093195,33
440,拇指,1.272727,0.516764,33
441,能量,3.636364,1.140674,33
442,念书,1.939394,0.998104,33
443,皮蛋,1.333333,0.692219,33
444,平民,2.03125,0.966683,32
445,凄凉,3.8125,0.737804,32
446,期望,3.939394,0.998104,33
447,起初,3.375,1.157026,32
448,抢救,2.1875,1.090649,32
449,清贫,3.151515,1.121417,33
450,丘脑,2.714286,1.511858,28
451,劝导,3.272727,1.039012,33
452,劝告,3.090909,1.208399,33
453,瘸腿,1.636364,0.895062,33
454,认真,3.30303,1.131505,33
455,日出,1.666667,0.889757,33
456,冗长,3.6875,1.029798,32
457,升值,3.0,1.319824,32
458,生活,3.272727,1.281423,33
459,圣灵,4.3,0.876907,30
460,圣言,3.733333,1.048261,30
461,试探,3.393939,1.028937,33
462,赎罪,3.34375,1.180743,32
463,水手,1.727273,1.039012,33
464,瞬间,3.666667,1.050793,33
465,叹息,2.787879,0.92728,33
466,贴现,3.074074,1.238048,27
467,伟大,3.848485,1.202113,33
468,屋子,1.515152,0.833712,33
469,熄灭,2.424242,0.867118,33
470,鲜嫩,2.969697,1.185455,33
471,闲话,2.939394,0.933387,33
472,详尽,3.30303,0.98377,33
473,向上,2.71875,1.14256,32
474,胸襟,3.84375,1.050633,32
475,雄辩,3.1875,1.029798,32
476,雄姿,3.454545,1.120572,33
477,巡回,3.181818,1.130668,33
478,训斥,2.848485,1.093195,33
479,延误,3.09375,1.088336,32
480,研发,3.0625,1.189673,32
481,仰卧,1.757576,1.14647,33
482,野蛮,3.454545,0.832575,33
483,衣架,1.121212,0.331434,33
484,疫情,2.606061,1.223197,33
485,婴儿,1.242424,0.50189,33
486,影子,2.212121,1.317136,33
487,永眠,3.30303,1.357499,33
488,诱惑,3.727273,0.944482,33
489,展示,2.909091,1.128152,33
490,正职,2.34375,1.153099,32
491,支持,2.969697,1.211529,33
492,职员,1.727273,0.719059,33
493,重婚,2.060606,1.058873,33
494,诸侯,2.393939,1.028937,33
495,哀号,2.777778,1.2195,27
496,鹌鹑,1.333333,0.620174,27
497,版本,2.777778,1.086042,27
498,伴奏,2.269231,0.874423,26
499,必修,2.423077,1.301478,26
500,搏斗,1.777778,0.751068,27
501,不便,3.703704,0.91209,27
502,裁缝,1.481481,0.70002,27
503,苍蝇,1.153846,0.464095,26
504,茶几,1.333333,0.5547,27
505,蝉鸣,1.666667,0.679366,27
506,抄家,2.615385,1.061204,26
507,赤脚,1.740741,0.859006,27
508,抽象,4.423077,1.02657,26
509,除非,3.538462,0.947872,26
510,船员,1.481481,0.579812,27
511,大人,2.555556,1.012739,27
512,盗版,2.653846,1.056118,26
513,登岸,2.269231,0.961569,26
514,堤岸,1.923077,0.844894,26
515,电信,2.576923,1.205755,26
516,钓鱼,1.481481,0.509175,27
517,叠加,3.0,1.074172,27
518,洞察,3.269231,1.34336,26
519,对待,3.48,1.045626,25
520,多嘴,3.0,1.240347,27
521,耳朵,1.222222,0.640513,27
522,发福,2.5,0.989949,26
523,废墟,2.111111,0.847319,27
524,高层,2.84,1.027943,25
525,高攀,3.185185,1.144789,27
526,根本,3.791667,1.215092,24
527,购入,2.592593,1.118352,27
528,寡言,3.076923,1.128648,26
529,滚烫,2.291667,0.907896,24
530,国际,3.037037,1.400041,27
531,行政,2.962963,1.224163,27
532,航空,2.148148,1.06351,27
533,慌张,2.925926,1.14105,27
534,机器,2.111111,1.120897,27
535,纪录,2.518519,0.935224,27
536,纪律,2.851852,1.26198,27
537,加入,3.115385,1.070586,26
538,具体,3.115385,1.306198,26
539,刻板,3.222222,0.9337,27
540,客气,3.0,1.16619,26
541,苦力,2.592593,1.118352,27
542,亏待,3.384615,1.09825,26
543,缆车,1.592593,0.930643,27
544,黎民,2.625,1.172604,24
545,历法,2.814815,1.177907,27
546,立法,2.666667,1.074172,27
547,痢疾,2.333333,0.960769,27
548,林木,1.740741,0.859006,27
549,琉璃,1.846154,1.189699,26
550,名流,3.555556,1.050031,27
551,凝固,2.555556,0.891556,27
552,奴婢,2.185185,1.075498,27
553,女巫,1.961538,0.958364,26
554,盘算,3.115385,1.107318,26
555,滂沱,3.68,1.10755,25
556,嫖客,1.777778,0.751068,27
557,票数,2.185185,1.272098,27
